Резюме,Профессия,Обязанности,predict
0,контролер качества,"1) Ежесменный аудит производства: 
- выявление нарушений технологического процесса; 
- выявление нарушений санитарного состояния (мониторинг температурных режимов, контроль внешнего вида сотрудников и их рабочих мест)
- контроль проведения ежесменых, еженедельных и генеральных моек на производстве согласно установленного графика.
- составление отчета о выявленых нарушениях и его отправка руководству.
2) Работа с браком на производстве:
- актирование брака по номенклатуре и типу дефектов
- формирование отчета с описанием кол-ва и причин брака.
- ведение ежесменной статистики брака на предприятии.
3) Входной контроль вспомогательных материалов:
- проверка документации
- отбор проб",контролер качества
0,заместитель начальника производства,"- Организация ежедневной работы персонала, составление графиков выхода на работу.
- Планирование выпуска готовой продукции и контроль выполнения сменных заданий по цехам.
- Эффективное использование производственных мощностей.
- Обучение и стажировка персонала.
- Контроль соблюдения персоналом технологических процессов согласно нормативно-технической документации.
- Контроль качества выпускаемой продукции.
- Контроль выполнения санитарных норм и правил.
- Взаимодействие с контролирующими, инспектирующими органами.
- Работа в программе SAP.",начальник цеха опытного производства
0,контролер качества,"- Входной контроль поступающего на производство сырья (соответствие сопроводительных документов; наличие у водителя сан. книжки; наличие и целостность пломбы; целостность упаковки сырья; соответствие санитарного состояния кузова, температурный контроль).
- Входной контроль с помощью приборов тары и материалов, поступающих на производство на соответствие заявленных параметров и качества. 
- Контроль хранения поступившего на производство сырья (температурный режим, санитарное состояние сырьевой камеры);
- Контроль за соблюдением санитарного состояния предприятия: приемка ежесменной мойки участков, приемка генеральной мойки (еженедельно) завода, отбор проб после мойки с помощью АТФ-люминометра с целью мониторинга остатков биологических загрязнений.
- Контроль за санитарным состоянием цехов: отсутствие мусора, упавшей на пол продукции, соблюдение сотрудниками цветовой кодировки производственного инвентаря и тары, соблюдение сотрудниками правил личной гигиены, наличие емкостей с дезинфицирующим средством, температурных режимов цехов.
- Контроль производственного процесса: участие в настройки оборудования (фиксация соответствие качества и параметров выпускаемой продукции, периодический (раз в 2 часа) контроль за работой оборудования), контроль за соблюдением правил внутреннего движения сырья и продукции, контроль температурных режимов сырья и продукции.
- Отбор проб готовой продукции (ежесменно, еженедельно для лаборатории холдинга ""Черкизово"", ежемесячно для гос. Органов (совместно))
- Вскрытие проб образцов готовой продукции (охлажденной продукции (4,6,8 сутки) и замороженной продукции (через 6 месяцев с момента отбора) (с соблюдением правил дефростации продукции) с целью отслеживания изменения показателей продукции за период хранения.
- Контроль за упаковкой готовой продукции: контроль качества, количества и веса продукции в пакете, отсутствие развакума пакетов. 
- Контроль маркировки готовой продукции: корректность данных на этикетках (индивидуальной и тарной): названия продукции, даты и информации (согласно шаблону); контроль кол-ва вложений в короб, контроль укладки продукции в коробе, коробов на палете или кассете (для шоковой заморозки).
- Контроль шоковой заморозки продукции (контроль температуры после цикла работы камер)
- Контроль хранения готовой продукции в камерах на складе: соответствие температурных режимов, контроль сроков годности, целостности паллет, качества обмотки транспортной пленки.
- Контроль отгрузки готовой продукции с территории предприятия: соответствие санитарного состояния кузова, наличие мед. книжки у водителя, документов о сан. обработки кузова, температурного режима продукции, качества обмотки продукции, правильность загрузки продукции в кузов).
- Контроль за безопасностью пищевой продукции: особый контроль за ККТ (контроль критических точек: Х-RAY, рентген установки на линиях маркировки готовой продукции, камеры шоковой заморозки), участие в расследованиях и устранения причин поступающих на производство претензий.
- Разработка и введение на ежесменной основе чек-листов (EXCEL) и отчетов за смену. Фото- видео- фиксация нарушений. - - Составление и отправка отчетов несоответствия при входном контроле поставщикам и руководству. Составление и отправка внутренних отчетов несоответствия о выявленных нарушениях в течении смены.
- Участие в экспериментах службы главного технолога, проработка мероприятий по оптимизации производства. Составление первичных отчетов о результатах экспериментов.
- Выполнение поручений руководства.",контролер качества
0,мастер участка бескостной группы,"- Работа по производству филе бедра ЦБ.
- Обеспечение выполнения сменного задания: расстановка сотрудников (30 человек штатная численность участка) по рабочим местам, выдача задний, усиление отстающих позиций.
- Обучение новых сотрудников работе на участке.
- Контроль работы оборудования в течении смены.
- Контроль качества выпускаемой продукции и упаковки.
- Работа в 1С – предприятие: просмотр сменного задания, выдача задания на маркираторы продукции. Введение табеля сотрудников.
- Введение отчетности о работе участка.
- Выполнение поручений начальника смены.
",мастер участка
0,мастер участка заморозки мпп,"-Производство говяжьего фарша.
- Работа по заморозки в плиточниках побочной продукции в ходе работы МПП: Тримминг 50/50; Тримминг 40/60; Тримминг 30/70; Тримминг 20/80; Тримминг 10/90; соединительная ткань, жир говяжий корпусной, фарш говяжий.
- Маркировка готовой продукции.
- Обеспечение выполнения сменного задания: расстановка сотрудников (20 человек штатная численность участка) по рабочим местам, выдача задний, усиление отстающих позиций.
- Работа с электророхлей и электроштабелером.
- Обучение новых сотрудников работе на участке.
- Контроль работы оборудования в течении смены.
- Контроль качества выпускаемой продукции и упаковки.
- Обеспечения работы по передачи продукции с участков ПУ и МЖП на склад замороженной продукции.
- Работа в 1С – предприятие: просмотр сменного задания. Введение табеля сотрудников.
- Введение отчетности о работе участка (EXCEL).
- Выполнение поручений начальника смены.",мастер участка
0,мастер-стажер,"Ознакомление с производством и технологическим процессом, помощь мастерам в управлении участками, выполнение поручений руководства, работа с персоналом.",мастер участка
1,"технолог по выращиванию ,переработке и хранению с.х. продукции","Занималась выращиванием с.х. продукцией -клубники , малины, картофеля, фасоли ,лука ,моркови ,огурцов,кабачков ,теплицы  по выращиванию цветов кал, бахчевых ,люцерны -для подсобного хозяйства.В больших обьемах занимались консервацией - соки ,помидоры с собственном соку ,маринованием ,квашением в больших чанах , приготовлением джема ,томат пасты и пасты чисто из красного болгарского перца ,овощных рагу,!Получаются отличными вкусовыми качествами,пользовались большим успехом.  Хранение картофеля и всех овощей на зиму.С июля 2008 г нахожусь на пенсии (раньше по времени вышла т.к.шло год за два) Имею очень хорошие навыки и опыт по выращиванию птиц ,индюков ,уток ,гусей  ,с удовольствием поработаю по выращиванию в больших обемах  ( птицефермы.)",заведующий камерой хранения
1,агроном открытого и закрытого грунта,"Работала главным агрономом тепличного комплекса с штатом 120 человек ,по выращиванию огурцов и помидор в блочных стеклянных теплицах площадью в 1 га -био и в пленочных теплицах -капусту и перец ,а также и в открытом грунте выращиванием всех видов овощей и зерновых культур .Также выращиванием розы  в теплицах на продажу.Меня интересует  и гидропоника в закрытом грунте -выращивание салатов,помидор ,огурцов ,а также выращивание всех видов грибов в подвальных помещениях .  .Всегда добивалась хороших результатов по качеству и количеству в требуемые сроки для реализации данной продукции.",оператор оборудования закрытого грунта
1,агроном,"Работала агрономом в совхоз техникуме по растениеводству по выращиванию для семеноводства  подсолничника сортами Сольдор и Самбред, семян люцерны ,пшеницы ,гороха,фасоли,кукурузы,овса и ячменя.",агроном
2,технолог,"Контроль всей деятельности участков осеменение, ожидание, опорос и доращивание",инженер-технолог (технолог)
