Должность,Должностные обязанности,Должен знать,Требования к квалификации
"ДИРЕКТОР (ГЕНЕРАЛЬНЫЙ ДИРЕКТОР, УПРАВЛЯЮЩИЙ) ПРЕДПРИЯТИЯ","Руководит в соответствии с действующим законодательством производственно-хозяйственной и финансово-экономической деятельностью предприятия, неся всю полноту ответственности за последствия принимаемых решений, сохранность и эффективное использование имущества предприятия, а также финансово-хозяйственные результаты его деятельности. Организует работу и эффективное взаимодействие всех структурных подразделений, цехов и производственных единиц, направляет их деятельность на развитие и совершенствование производства с учетом социальных и рыночных приоритетов, повышение эффективности работы предприятия, рост объемов сбыта продукции и увеличение прибыли, качества и конкурентоспособности производимой продукции, ее соответствие мировым стандартам в целях завоевания отечественного и зарубежного рынка и удовлетворения потребностей населения в соответствующих видах отечественной продукции. Обеспечивает выполнение предприятием всех обязательств перед федеральным, региональным и местным бюджетами, государственными внебюджетными социальными фондами, поставщиками, заказчиками и кредиторами, включая учреждения банка, а также хозяйственных и трудовых договоров (контрактов) и бизнес-планов. Организует производственно-хозяйственную деятельность на основе широкого использования новейшей техники и технологии, прогрессивных форм управления и организации труда, научно обоснованных нормативов материальных, финансовых и трудовых затрат, изучения конъюнктуры рынка и передового опыта (отечественного и зарубежного) в целях всемерного повышения технического уровня и качества продукции (услуг), экономической эффективности ее производства, рационального использования производственных резервов и экономного расходования всех видов ресурсов. Принимает меры по обеспечению предприятия квалифицированными кадрами, рациональному использованию и развитию их профессиональных знаний и опыта, созданию безопасных и благоприятных для жизни и здоровья условий труда, соблюдению требований законодательства об охране окружающей среды. Обеспечивает правильное сочетание экономических и административных методов руководства, единоначалия и коллегиальности в обсуждении и решении вопросов, материальных и моральных стимулов повышения эффективности производства, применение принципа материальной заинтересованности и ответственности каждого работника за порученное ему дело и результаты работы всего коллектива, выплату заработной платы в установленные сроки. Совместно с трудовыми коллективами и профсоюзными организациями обеспечивает на основе принципов социального партнерства разработку, заключение и выполнение коллективного договора, соблюдение трудовой и производственной дисциплины, способствует развитию трудовой мотивации, инициативы и активности рабочих и служащих предприятия. Решает вопросы, касающиеся финансово-экономической и производственно-хозяйственной деятельности предприятия, в пределах предоставленных ему законодательством прав, поручает ведение отдельных направлений деятельности другим должностным лицам - заместителям директора, руководителям производственных единиц и филиалов предприятий, а также функциональных и производственных подразделений. Обеспечивает соблюдение законности в деятельности предприятия и осуществлении его хозяйственно-экономических связей, использование правовых средств для финансового управления и функционирования в рыночных условиях, укрепления договорной и финансовой дисциплины, регулирования социально-трудовых отношений, обеспечения инвестиционной привлекательности предприятия в целях поддержания и расширения масштабов предпринимательской деятельности. Защищает имущественные интересы предприятия в суде, арбитраже, органах государственной власти и управления.","законодательные и нормативные правовые акты, регламентирующие производственно-хозяйственную и финансово-экономическую деятельность предприятия, постановления федеральных, региональных и местных органов государственной власти и управления, определяющие приоритетные направления развития экономики и соответствующей отрасли; методические и нормативные материалы других органов, касающиеся деятельности предприятия; профиль, специализацию и особенности структуры предприятия; перспективы технического, экономического и социального развития отрасли и предприятия; производственные мощности и кадровые ресурсы предприятия; технологию производства продукции предприятия; налоговое и экологическое законодательство; порядок составления и согласования бизнес-планов производственно-хозяйственной и финансово-экономической деятельности предприятия; рыночные методы хозяйствования и управления предприятием; систему экономических индикаторов, позволяющих предприятию определять свое положение на рынке и разрабатывать программы выхода на новые рынки сбыта; порядок заключения и исполнения хозяйственных и финансовых договоров; конъюнктуру рынка; научно-технические достижения и передовой опыт в соответствующей отрасли производства; управление экономикой и финансами предприятия, организацию производства и труда; порядок разработки и заключения отраслевых тарифных соглашений, коллективных договоров и регулирования социально-трудовых отношений; трудовое законодательство; правила и нормы охраны труда.",Высшее профессиональное (техническое или инженерно-экономическое) образование и стаж работы на руководящих должностях в соответствующей профилю предприятия отрасли не менее 5 лет.
ФИНАНСОВЫЙ ДИРЕКТОР (ЗАМЕСТИТЕЛЬ ДИРЕКТОРА ПО ФИНАНСАМ),"Определяет финансовую политику организации, разрабатывает и осуществляет меры по обеспечению ее финансовой устойчивости. Руководит работой по управлению финансами исходя из стратегических целей и перспектив развития организации, по определению источников финансирования с учетом рыночной конъюнктуры. Осуществляет анализ и оценку финансовых рисков, разрабатывает меры по сведению их к минимуму, обеспечивает контроль за соблюдением финансовой дисциплины, своевременным и полным выполнением договорных обязательств и поступлением доходов, порядком оформления финансово-хозяйственных операций с поставщиками, заказчиками, кредитными организациями, а также операций внешнеэкономической деятельности. Возглавляет работу по формированию налоговой политики организации, налоговому планированию и оптимизации налогообложения, совершенствованию учетной политики, по подготовке и проведению эмиссии ценных бумаг, анализу и оценке инвестиционной привлекательности проектов и целесообразности вложения средств, регулированию соотношения собственного и заемного капитала. Осуществляет взаимодействие с кредитными организациями по вопросам размещения временно свободных денежных средств, проведения операций с ценными бумагами, получения кредитов. Руководит составлением перспективных и текущих финансовых планов и бюджетов денежных средств, доводит показатели утвержденной системы бюджетов и вытекающих из нее заданий, лимитов и нормативов до подразделений организации, обеспечивает контроль за их выполнением. Участвует в разработке проектов планов продаж продукции (работ, услуг), затрат на производство и продажу продукции (работ, услуг), подготавливает предложения по повышению рентабельности производства, снижению издержек производства и обращения. Осуществляет контроль за состоянием, движением и целевым использованием финансовых средств, результатами финансово-хозяйственной деятельности, выполнением налоговых обязательств. Принимает меры по обеспечению платежеспособности и увеличению прибыли организации, эффективности финансовых и инвестиционных проектов, рациональной структуры активов. Организует разработку информационной системы по управлению финансами в соответствии с требованиями бухгалтерского, налогового, статистического и управленческого учета, контроль за достоверностью и сохранением конфиденциальности информации. Обеспечивает предоставление необходимой финансовой информации внутренним и внешним пользователям. Организует работу по проведению анализа и оценки финансовых результатов деятельности организации и разработке мероприятий по повышению эффективности управления финансами, а также проведению внутреннего аудита, по рассмотрению взаимных претензий, возникающих в процессе осуществления финансово-хозяйственной деятельности, принимает меры по их разрешению в соответствии с действующим законодательством. Руководит деятельностью финансовых подразделений организации, организует работу по повышению квалификации работников, оказывает методическую помощь работникам организации по финансовым вопросам.","законодательные и иные нормативные правовые акты, регламентирующие финансово-экономическую и производственно-хозяйственную деятельность организации; нормативные и методические документы по вопросам организации бухгалтерского учета и управления финансами; основы гражданского права; финансовое, налоговое и хозяйственное законодательство; кодексы этики профессионального бухгалтера и корпоративного управления; профиль, специализацию и структуру организации, перспективы ее развития; методы анализа и оценки эффективности финансовой деятельности организации, анализа финансовых рынков, расчета и минимизации финансовых рисков; порядок заключения и исполнения хозяйственных и финансовых договоров; организацию финансовой работы, бюджетирование; методы и порядок планирования финансовых показателей; порядок: финансирования из средств государственного бюджета, долгосрочного и краткосрочного кредитования, привлечения инвестиций и заемных средств, использования собственных средств, выпуска и приобретения ценных бумаг, распределения финансовых ресурсов, начисления налогов, проведения аудиторских проверок; бухгалтерский, налоговый, статистический и управленческий учет; основы технологии производства; экономику, организацию производства, труда и управления; современные справочные и информационные системы в сфере бухгалтерского учета и управления финансами; правила хранения финансовых документов и защиты информации; передовой отечественный и зарубежный опыт организации бухгалтерского учета и управления финансами; законодательство о труде; правила по охране труда.","Высшее профессиональное (экономическое) образование, стаж финансово-бухгалтерской работы, в том числе на руководящих должностях, не менее 5 лет."
ГЛАВНЫЙ БУХГАЛТЕР,"Организует работу по постановке и ведению бухгалтерского учета организации в целях получения заинтересованными внутренними и внешними пользователями полной и достоверной информации о ее финансово-хозяйственной деятельности и финансовом положении. Формирует в соответствии с законодательством о бухгалтерском учете учетную политику исходя из специфики условий хозяйствования, структуры, размеров, отраслевой принадлежности и других особенностей деятельности организации, позволяющую своевременно получать информацию для планирования, анализа, контроля, оценки финансового положения и результатов деятельности организации. Возглавляет работу: по подготовке и утверждению рабочего плана счетов бухгалтерского учета, содержащего синтетические и аналитические счета, форм первичных учетных документов, применяемых для оформления хозяйственных операций, форм внутренней бухгалтерской отчетности; по обеспечению порядка проведения инвентаризации и оценки имущества и обязательств, документальному подтверждению их наличия, состояния и оценки; по организации системы внутреннего контроля за правильностью оформления хозяйственных операций, соблюдением порядка документооборота, технологии обработки учетной информации и ее защиты от несанкционированного доступа. Руководит формированием информационной системы бухгалтерского учета и отчетности в соответствии с требованиями бухгалтерского, налогового, статистического и управленческого учета, обеспечивает предоставление необходимой бухгалтерской информации внутренним и внешним пользователям. Организует работу по ведению регистров бухгалтерского учета на основе применения современных информационных технологий, прогрессивных форм и методов учета и контроля, исполнению смет расходов, учету имущества, обязательств, основных средств, материально-производственных запасов, денежных средств, финансовых, расчетных и кредитных операций, издержек производства и обращения, продажи продукции, выполнения работ (услуг), финансовых результатов деятельности организации. Обеспечивает своевременное и точное отражение на счетах бухгалтерского учета хозяйственных операций, движения активов, формирования доходов и расходов, выполнения обязательств. Обеспечивает контроль за соблюдением порядка оформления первичных учетных документов. Организует информационное обеспечение управленческого учета, учет затрат на производство, составление калькуляций себестоимости продукции (работ, услуг), учет по центрам ответственности и сегментам деятельности, формирование внутренней управленческой отчетности. Обеспечивает: своевременное перечисление налогов и сборов в федеральный, региональный и местный бюджеты, страховых взносов в государственные внебюджетные социальные фонды, платежей в кредитные организации, средств на финансирование капитальных вложений, погашение задолженностей по ссудам; контроль за расходованием фонда оплаты труда, организацией и правильностью расчетов по оплате труда работников, проведением инвентаризаций, порядком ведения бухгалтерского учета, отчетности, а также проведением документальных ревизий в подразделениях организации. Принимает участие в проведении финансового анализа и формировании налоговой политики на основе данных бухгалтерского учета и отчетности, в организации внутреннего аудита; подготавливает предложения, направленные на улучшение результатов финансовой деятельности организации, устранение потерь и непроизводительных затрат. Ведет работу по обеспечению соблюдения финансовой и кассовой дисциплины, смет расходов, законности списания со счетов бухгалтерского учета недостач, дебиторской задолженности и других потерь. Участвует в оформлении документов по недостачам, незаконному расходованию денежных средств и товарно-материальных ценностей, контролирует передачу в необходимых случаях этих материалов в следственные и судебные органы. Обеспечивает составление отчета об исполнении бюджетов денежных средств и смет расходов, подготовку необходимой бухгалтерской и статистической отчетности, представление их в установленном порядке в соответствующие органы. Обеспечивает сохранность бухгалтерских документов и сдачу их в установленном порядке в архив. Оказывает методическую помощь руководителям подразделений и другим работникам организации по вопросам бухгалтерского учета, контроля, отчетности и анализа хозяйственной деятельности. Руководит работниками бухгалтерии, организует работу по повышению их квалификации.","законодательство о бухгалтерском учете; основы гражданского права; финансовое, налоговое и хозяйственное законодательство; нормативные и методические документы по вопросам организации бухгалтерского учета и составления отчетности, хозяйственно-финансовой деятельности организации; положения и инструкции по организации бухгалтерского учета, правила его ведения; кодексы этики профессионального бухгалтера и корпоративного управления; профиль, специализацию и структуру организации, стратегию и перспективы ее развития; налоговый, статистический и управленческий учет; порядок оформления бухгалтерских операций и организацию документооборота по участкам учета, списания со счетов бухгалтерского учета недостач, дебиторской задолженности и других потерь, приемки, оприходования, хранения и расходования денежных средств, товарно-материальных и других ценностей, проведения аудиторских проверок; формы и порядок финансовых расчетов; условия налогообложения юридических и физических лиц; правила проведения инвентаризаций денежных средств и товарно-материальных ценностей, расчета с дебиторами и кредиторами, проведения проверок и документальных ревизий; порядок и сроки составления бухгалтерских балансов и отчетности; современные справочные и информационные системы в сфере бухгалтерского учета и управления финансами; методы анализа финансово-хозяйственной деятельности организации; правила хранения бухгалтерских документов и защиты информации; передовой отечественный и зарубежный опыт организации бухгалтерского учета; экономику, организацию производства, труда и управления; основы технологии производства; законодательство о труде; правила по охране труда.","Высшее профессиональное (экономическое) образование и стаж бухгалтерско-финансовой работы, в том числе на руководящих должностях, не менее 5 лет."
ГЛАВНЫЙ ДИСПЕТЧЕР,"Обеспечивает ритмичную работу предприятия и равномерный выпуск продукции, выполнение работ в соответствии с производственными программами, договорными обязательствами, календарными графиками и сменно-суточными заданиями. Принимает меры по максимальному использованию производственных мощностей предприятия, содействуя рациональной загрузке оборудования, повышению коэффициента сменности, созданию условий для эффективной работы персонала. Организует оперативно-производственное планирование и диспетчирование. Осуществляет регулярный оперативный контроль за ходом производства и других видов основной деятельности предприятия, принимает меры по предупреждению и устранению нарушений хода производственного процесса, привлекает к ликвидации этих нарушений вспомогательные и другие службы предприятия. Координирует работу подразделений предприятия, производственного транспорта и складов, проводит диспетчерские совещания. Контролирует обеспеченность цехов и участков необходимыми сырьем, материалами, конструкциями, комплектующими изделиями, оборудованием, а также транспортом и погрузочно-разгрузочными средствами. Руководит проведением нормативно-плановых расчетов по определению размеров партий запуска, сроков подач и норм запасов. Осуществляет систематический контроль за наличием заделов на уровне установленных нормативов в цехах и на участках, бесперебойным продвижением изделий по производственному потоку, выполнением графиков сдачи готовой продукции или законченных работ (услуг). Обеспечивает своевременное получение необходимой плановой документации для осуществления оперативного контроля за ходом производства. Осуществляет методическое руководство диспетчерскими службами производственных подразделений предприятия. Изучает передовой отечественный и зарубежный опыт в области оперативного управления производством, принимает участие в разработке и реализации мероприятий по совершенствованию производственного планирования, диспетчирования и оперативного учета и контроля за ходом производства, внедрению технических средств оперативного управления производством. Руководит подведением итогов работы и оценкой деятельности подразделений предприятия по выполнению производственных программ выпуска продукции. Участвует в работе по совершенствованию специализации и кооперирования производства, повышению его эффективности. Обеспечивает своевременный учет выпуска продукции и выполненных работ, составление установленной отчетности. Организует работу по повышению квалификации работников диспетчерской службы. Руководит работой диспетчеров, контролирует ведение ими диспетчерских журналов и другой технической документации.","законодательные и нормативные правовые акты, методические материалы по оперативному управлению производством, профиль, специализацию и особенности структуры предприятия, перспективы его развития; основы технологии производства продукции предприятия; организацию производства в отрасли и на предприятии; номенклатуру выпускаемой предприятием продукции, виды выполняемых работ и услуг; производственные мощности, технические характеристики, конструктивные особенности и режимы работы оборудования предприятия, правила его эксплуатации; порядок и методы производственного планирования, специализацию и территориальное расположение подразделений предприятия, производственные связи между ними; системы и методы учета хода производства; положения, инструкции и другие руководящие материалы по разработке и оформлению технической документации; организацию работы производственных складов, транспортных и погрузочно-разгрузочных работ на предприятии; стандарты и технические условия на поставку выпускаемой предприятием продукции; передовой отечественный и зарубежный опыт в области оперативного управления производством; основы экономики, организации труда и управления; основы трудового законодательства; правила и нормы охраны труда.","Высшее профессиональное (техническое или инженерно-экономическое) образование и стаж работы в должности диспетчера или других инженерно-технических и руководящих должностях по оперативному управлению производством не менее 5 лет, в том числе на данном предприятии не менее 1 года."
ГЛАВНЫЙ ИНЖЕНЕР,"Определяет техническую политику и направления технического развития предприятия в условиях рыночной экономики, пути реконструкции и технического перевооружения действующего производства, уровень специализации и диверсификации производства на перспективу. Обеспечивает необходимый уровень технической подготовки производства и его постоянный рост, повышение эффективности производства и производительности труда, сокращение издержек (материальных, финансовых, трудовых), рациональное использование производственных ресурсов, высокое качество и конкурентоспособность производимой продукции, работ или услуг, соответствие выпускаемых изделий действующим государственным стандартам, техническим условиям и требованиям технической эстетики, а также их надежность и долговечность. В соответствии с утвержденными бизнес-планами предприятия на среднесрочную и долгосрочную перспективу руководит разработкой мероприятий по реконструкции и модернизации предприятия, предотвращению вредного воздействия производства на окружающую среду, бережному использованию природных ресурсов, созданию безопасных условий труда и повышению технической культуры производства. Организует разработку и реализацию планов внедрения новой техники и технологии, проведения организационно-технических мероприятий, научно-исследовательских и опытно-конструкторских работ. Обеспечивает эффективность проектных решений, своевременную и качественную подготовку производства, техническую эксплуатацию, ремонт и модернизацию оборудования, достижение высокого качества продукции в процессе ее разработки и производства. На основе современных достижений науки и техники, результатов патентных исследований, а также передового опыта с учетом конъюнктуры рынка организует работу по улучшению ассортимента и качества, совершенствованию и обновлению выпускаемой продукции, выполняемых работ (услуг), техники и технологии, созданию принципиально новых конкурентоспособных видов продукции, по проектированию и внедрению в производство средств комплексной механизации и автоматизации технологических процессов, контроля и испытаний высокопроизводительного специализированного оборудования, разработке нормативов трудоемкости изделий и норм расхода материалов на их изготовление, последовательному осуществлению режима экономии и сокращению издержек. Осуществляет контроль за соблюдением проектной, конструкторской и технологической дисциплины, правил и норм по охране труда, технике безопасности, производственной санитарии и пожарной безопасности, требований природоохранных, санитарных органов, а также органов, осуществляющих технический надзор. Обеспечивает своевременную подготовку технической документации (чертежей, спецификаций, технических условий, технологических карт). Заключает с научно-исследовательскими, проектными (конструкторскими и технологическими) организациями и высшими учебными заведениями договоры на разработку новой техники и технологии производства, проектов реконструкции предприятия, его подразделений, обновления и модернизации оборудования, комплексной механизации и автоматизации производственных процессов, автоматизированных систем управления производством, осуществляет контроль за их разработкой, организует рассмотрение и внедрение проектов технического перевооружения, разработанных сторонними организациями, составление заявок на приобретение оборудования на условиях лизинга. Координирует работу по вопросам патентно-изобретательской деятельности, унификации, стандартизации и сертификации продукции, проведению специальной оценки условий труда и рационализации рабочих мест, метрологического обеспечения, механоэнергетического обслуживания производства. Принимает меры по совершенствованию организации производства, труда и управления на основе внедрения новейших технических и телекоммуникационных средств выполнения инженерных и управленческих работ. Организует проведение научных исследований и экспериментов, испытаний новой техники и технологии, а также работу в области научно-технической информации, рационализации и изобретательства, распространения передового производственного опыта. Проводит работу по защите приоритета внедренных научно-технических решений, подготовке материалов на их патентование, получение лицензий и прав на интеллектуальную собственность. Организует обучение и повышение квалификации рабочих и инженерно-технических работников и обеспечивает постоянное совершенствование подготовки персонала. Руководит деятельностью технических служб предприятия, контролирует результаты их работы, состояние трудовой и производственной дисциплины в подчиненных подразделениях. Является первым заместителем директора предприятия и несет ответственность за результаты и эффективность производственной деятельности.","законодательные и нормативные правовые акты, регламентирующие производственно-хозяйственную и финансово-экономическую деятельность предприятия, постановления федеральных, региональных и местных органов государственной власти и управления, определяющие приоритетные направления развития экономики и соответствующей отрасли; организационно-распорядительные документы и нормативные материалы других органов, касающиеся деятельности предприятия; профиль, специализацию и особенности структуры предприятия; перспективы технического, экономического и социального развития отрасли и бизнес-план предприятия; производственные мощности предприятия; технологию производства продукции предприятия; порядок составления и согласования планов производственно-хозяйственной деятельности предприятия; рыночные методы хозяйствования и управления предприятием; порядок заключения и исполнения хозяйственных и финансовых договоров; научно-технические достижения в соответствующей отрасли производства и опыт передовых предприятий; экономику и организацию производства, труда и управления; основы экологического законодательства; основы трудового законодательства; правила и нормы охраны труда.",Высшее профессиональное (техническое) образование и стаж работы по специальности на руководящих должностях в соответствующей профилю предприятия отрасли хозяйства не менее 5 лет.
